,CH1
Second,Volt
-3.67871e+00,2.18e+00, 
-3.66406e+00,2.18e+00, 
-3.64941e+00,2.18e+00, 
-3.63476e+00,2.18e+00, 
-3.62011e+00,2.18e+00, 
-3.60546e+00,2.18e+00, 
-3.59082e+00,2.18e+00, 
-3.57617e+00,2.18e+00, 
-3.56152e+00,2.18e+00, 
-3.54687e+00,2.18e+00, 
-3.53222e+00,2.20e+00, 
-3.51757e+00,2.20e+00, 
-3.50293e+00,2.18e+00, 
-3.48828e+00,2.18e+00, 
-3.47363e+00,2.18e+00, 
-3.45898e+00,2.20e+00, 
-3.44433e+00,2.22e+00, 
-3.42968e+00,2.18e+00, 
-3.41504e+00,2.20e+00, 
-3.40039e+00,2.18e+00, 
-3.38574e+00,2.20e+00, 
-3.37109e+00,2.18e+00, 
-3.35644e+00,2.18e+00, 
-3.34179e+00,2.20e+00, 
-3.32714e+00,2.20e+00, 
-3.31250e+00,2.20e+00, 
-3.29785e+00,2.20e+00, 
-3.28320e+00,2.20e+00, 
-3.26855e+00,2.20e+00, 
-3.25390e+00,2.18e+00, 
-3.23925e+00,2.18e+00, 
-3.22461e+00,2.20e+00, 
-3.20996e+00,2.18e+00, 
-3.19531e+00,2.18e+00, 
-3.18066e+00,2.18e+00, 
-3.16601e+00,2.18e+00, 
-3.15136e+00,2.18e+00, 
-3.13671e+00,2.18e+00, 
-3.12207e+00,2.18e+00, 
-3.10742e+00,2.18e+00, 
-3.09277e+00,2.20e+00, 
-3.07812e+00,2.18e+00, 
-3.06347e+00,2.20e+00, 
-3.04882e+00,2.18e+00, 
-3.03418e+00,2.18e+00, 
-3.01953e+00,2.18e+00, 
-3.00488e+00,2.18e+00, 
-2.99023e+00,2.20e+00, 
-2.97558e+00,2.18e+00, 
-2.96093e+00,2.18e+00, 
-2.94629e+00,2.20e+00, 
-2.93164e+00,2.18e+00, 
-2.91699e+00,2.20e+00, 
-2.90234e+00,2.18e+00, 
-2.88769e+00,2.20e+00, 
-2.87304e+00,2.18e+00, 
-2.85839e+00,2.20e+00, 
-2.84375e+00,2.20e+00, 
-2.82910e+00,2.18e+00, 
-2.81445e+00,2.18e+00, 
-2.79980e+00,2.18e+00, 
-2.78515e+00,2.18e+00, 
-2.77050e+00,2.18e+00, 
-2.75586e+00,2.18e+00, 
-2.74121e+00,2.18e+00, 
-2.72656e+00,2.20e+00, 
-2.71191e+00,2.20e+00, 
-2.69726e+00,2.20e+00, 
-2.68261e+00,2.20e+00, 
-2.66796e+00,2.18e+00, 
-2.65332e+00,2.20e+00, 
-2.63867e+00,2.20e+00, 
-2.62402e+00,2.20e+00, 
-2.60937e+00,2.20e+00, 
-2.59472e+00,2.18e+00, 
-2.58007e+00,2.18e+00, 
-2.56543e+00,2.20e+00, 
-2.55078e+00,2.18e+00, 
-2.53613e+00,2.18e+00, 
-2.52148e+00,2.20e+00, 
-2.50683e+00,2.18e+00, 
-2.49218e+00,2.18e+00, 
-2.47754e+00,2.18e+00, 
-2.46289e+00,2.18e+00, 
-2.44824e+00,2.20e+00, 
-2.43359e+00,2.20e+00, 
-2.41894e+00,2.18e+00, 
-2.40429e+00,2.20e+00, 
-2.38964e+00,2.18e+00, 
-2.37500e+00,2.18e+00, 
-2.36035e+00,2.18e+00, 
-2.34570e+00,2.18e+00, 
-2.33105e+00,2.18e+00, 
-2.31640e+00,2.18e+00, 
-2.30175e+00,2.18e+00, 
-2.28711e+00,2.18e+00, 
-2.27246e+00,2.18e+00, 
-2.25781e+00,2.18e+00, 
-2.24316e+00,2.18e+00, 
-2.22851e+00,2.18e+00, 
-2.21386e+00,2.18e+00, 
-2.19921e+00,2.18e+00, 
-2.18457e+00,2.18e+00, 
-2.16992e+00,2.20e+00, 
-2.15527e+00,2.18e+00, 
-2.14062e+00,2.20e+00, 
-2.12597e+00,2.18e+00, 
-2.11132e+00,2.18e+00, 
-2.09668e+00,2.18e+00, 
-2.08203e+00,2.18e+00, 
-2.06738e+00,2.18e+00, 
-2.05273e+00,2.20e+00, 
-2.03808e+00,2.18e+00, 
-2.02343e+00,2.18e+00, 
-2.00879e+00,2.18e+00, 
-1.99414e+00,2.20e+00, 
-1.97949e+00,2.18e+00, 
-1.96484e+00,2.18e+00, 
-1.95019e+00,2.18e+00, 
-1.93554e+00,2.18e+00, 
-1.92089e+00,2.18e+00, 
-1.90625e+00,2.18e+00, 
-1.89160e+00,2.20e+00, 
-1.87695e+00,2.18e+00, 
-1.86230e+00,2.18e+00, 
-1.84765e+00,2.18e+00, 
-1.83300e+00,2.18e+00, 
-1.81836e+00,2.18e+00, 
-1.80371e+00,2.18e+00, 
-1.78906e+00,2.20e+00, 
-1.77441e+00,2.20e+00, 
-1.75976e+00,2.18e+00, 
-1.74511e+00,2.22e+00, 
-1.73046e+00,2.20e+00, 
-1.71582e+00,2.18e+00, 
-1.70117e+00,2.18e+00, 
-1.68652e+00,2.18e+00, 
-1.67187e+00,2.18e+00, 
-1.65722e+00,2.18e+00, 
-1.64257e+00,2.18e+00, 
-1.62793e+00,2.18e+00, 
-1.61328e+00,2.20e+00, 
-1.59863e+00,2.22e+00, 
-1.58398e+00,2.18e+00, 
-1.56933e+00,2.18e+00, 
-1.55468e+00,2.18e+00, 
-1.54004e+00,2.18e+00, 
-1.52539e+00,2.20e+00, 
-1.51074e+00,2.18e+00, 
-1.49609e+00,2.18e+00, 
-1.48144e+00,2.18e+00, 
-1.46679e+00,2.20e+00, 
-1.45214e+00,2.18e+00, 
-1.43750e+00,2.18e+00, 
-1.42285e+00,2.18e+00, 
-1.40820e+00,2.18e+00, 
-1.39355e+00,2.18e+00, 
-1.37890e+00,2.20e+00, 
-1.36425e+00,2.18e+00, 
-1.34961e+00,2.18e+00, 
-1.33496e+00,2.18e+00, 
-1.32031e+00,2.18e+00, 
-1.30566e+00,2.18e+00, 
-1.29101e+00,2.20e+00, 
-1.27636e+00,2.18e+00, 
-1.26171e+00,2.18e+00, 
-1.24707e+00,2.18e+00, 
-1.23242e+00,2.20e+00, 
-1.21777e+00,2.18e+00, 
-1.20312e+00,2.20e+00, 
-1.18847e+00,2.18e+00, 
-1.17382e+00,2.18e+00, 
-1.15918e+00,2.18e+00, 
-1.14453e+00,2.18e+00, 
-1.12988e+00,2.18e+00, 
-1.11523e+00,2.18e+00, 
-1.10058e+00,2.18e+00, 
-1.08593e+00,2.22e+00, 
-1.07129e+00,2.18e+00, 
-1.05664e+00,2.20e+00, 
-1.04199e+00,2.18e+00, 
-1.02734e+00,2.18e+00, 
-1.01269e+00,2.18e+00, 
-9.98043e-01,2.18e+00, 
-9.83395e-01,2.20e+00, 
-9.68746e-01,2.18e+00, 
-9.54098e-01,2.20e+00, 
-9.39449e-01,2.18e+00, 
-9.24801e-01,2.18e+00, 
-9.10152e-01,2.18e+00, 
-8.95504e-01,2.18e+00, 
-8.80856e-01,2.18e+00, 
-8.66207e-01,2.18e+00, 
-8.51559e-01,2.18e+00, 
-8.36910e-01,2.18e+00, 
-8.22262e-01,2.20e+00, 
-8.07613e-01,2.20e+00, 
-7.92965e-01,2.18e+00, 
-7.78316e-01,2.20e+00, 
-7.63668e-01,2.20e+00, 
-7.49020e-01,2.18e+00, 
-7.34371e-01,2.18e+00, 
-7.19723e-01,2.20e+00, 
-7.05074e-01,2.18e+00, 
-6.90426e-01,2.18e+00, 
-6.75777e-01,2.18e+00, 
-6.61129e-01,2.18e+00, 
-6.46481e-01,2.18e+00, 
-6.31832e-01,2.18e+00, 
-6.17184e-01,2.18e+00, 
-6.02535e-01,2.18e+00, 
-5.87887e-01,2.18e+00, 
-5.73238e-01,2.18e+00, 
-5.58590e-01,2.18e+00, 
-5.43941e-01,2.18e+00, 
